Quarter,Dept,Business area or arms length body,Contract Title and description,Supplier,KPI name and description,Good target,Rating,Can this KPI be published,Comments
FY25-26 Q4 Jan-Feb-Mar,MOJ,HMPPS,Community Accommodation Service - Tier 2,Nacro,Percentage of properties delivering their committed EPC level.,100%,Requires Improvement,Yes,"As previously reported, the Authority has agreed that the priority is securing new properties and once target is delivered, the supplier will seek to replace properties where the owner is not prepared to address energy efficiency works."
FY25-26 Q4 Jan-Feb-Mar,MOJ,HMCTS,Cloud Video Platform and Video Hearing Services 2023,Avmi Kinly Ltd,"The Supplier shall provide an opportunity for placement and work-experience students to work across design, rack-build, install and commissioning teams enabling them to develop an understanding of the industry. The Supplier shall report the numbers of students who have attended placement and work- experience opportunities to the Buyer on a quarterly basis.",1,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOJ,HMPPS,Unilink Self-Service Kiosks and Associated Services - New 2023,Unilink,Resolve 95% of severity level 1 incidents within 2 hours for remote resolution or 4 hours if onsite presence required. 8 hours at all contracted sites. Service Hours (business day) excel Bank Holidays,95.00%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOJ,MoJ HQ,Bichard 7 Support & Development (2025),Made Tech Limited,"Incident Response Times: P1(15 Min), P2(1Hrs), P3(4 Hrs), P4(24 Hrs)",>95.00%,Good,Yes,2 responses out of 134 were slightly outside of SLA
FY25-26 Q4 Jan-Feb-Mar,MOJ,HMPPS,Community Justice Learning Long Term - Lot 6,University of Portsmouth,75% of learners who start a Level 6 module will pass on first attempt,75.00%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOJ,HMPPS,Electronic Monitoring - MDSS,G4S Monitoring Technologies Ltd,Social value focus on modern slavery - 100% - Quarterly performance,100.00%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOJ,HMCTS,Bulk Scanning and Off-Site Mailroom Contract 2025,XBP Europe Limited,5% annual Carbon usage reduction Fighting Climate Change – Effective  ,≥ 0.05 reduction,Other - Consider returned,Yes,Annual submission not due this quarter. Due in 26/27 Q1 reporting
FY25-26 Q4 Jan-Feb-Mar,MOJ,HMPPS,Electronic Monitoring - Software (Lot 2),Airbus Defence and Space Limited,Responded to tickets within the agreed Service Level Agreement (SLA),98.00%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOJ,HMPPS,NPS Complex Move On 2022 - 2027,Langley House Trust,"Preplacement assessment interview.
All HMPPS placed residents to be directly interviewed/assessed prior to placement",95%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOJ,HMCTS,HMCTS Scheduling and Listing Product,McGirr Information Technology Pty Ltd,Service Level 1 – Incident Priority One Target Resolution Time < 4 hours (90 %),90%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOJ,HMCTS,HMCTS Digital Support Contract,We Are Digital,SL1 - Users appointment is delivered in a timely manner. 90% of users who prefer to receive their appointment within 5 working days receive this. For the avoidance of doubt this will apply to all Partner Supported Sessions.,90.00%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOJ,MoJ HQ,"Launch Pad Digital Services – Canteen Purchases, Meal Ordering and Digital Delivery Services",Version 1 Solutions Limited,"Supplier Staff using Buyer systems MUST adhere to Buyer security, technical and quality standards.",100%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOJ,HMPPS,DF Dependency and Recovery for London,The Forward Trust,"QM1 - Quality of delivery of intervention: provision enables Service Users
to make progress in addressing their
offending related needs and achievement of
Agreed Outcomes
The Audit Score (calculated in accordance with Appendix 2 of this Schedule 2.2 (Performance Levels)) in respect of the assessment of whether sufficient interventions of appropriate quality
delivered in a manner that
a. enables Referred Service Users to make
progress in addressing their offending related
needs; and
b. the Agreed Outcomes in each Service User's
Action Plan are sufficiently achieved",86.60%,Recorded Elsewhere,Yes,"Contract level performance data is not available. Currently Probation performance is published on a regional level (North East, North West etc.) and is blended across each of the services, this is due to first generation contracts known as Community rehabilitation Contracts which were regionally aligned and responsible for total service delivery making blended service statistics appropriate. Commercial are working with supplier, Head of Performance and Head of Statistics to put a change request in place. MoJ expects contract level performance data to be available July 2025 in line with other MoJ performance data reporting requirements. In the interim, blended performance data is published a year in arrears (like the prisons programme) on the Gov.UK website here: https://www.gov.uk/government/statistics/community-performance-annual-update-to-march-2023."
FY25-26 Q4 Jan-Feb-Mar,MOJ,HMPPS,Independent Approved Premises - St Johns,St John's Approved Premises,"Key Worker Sessions - There must be one
keywork session per calendar week for the
duration of stay.",95.00%,Good,Yes,Provider agrees with the figures – no additional observations offered.
FY25-26 Q4 Jan-Feb-Mar,MOJ,HMPPS,Prisoner Escort and Custody Services (Generation 4) - Lot South,Serco Limited,KPI Escapes - Adults - No KPI Escapes (as defined in Schedule 1 (Definitions)) in the Contract Area (or whilst in the custody of the Supplier but outside of the Contract Area) due to any act or failure to act by the Supplier (including without limitation failure to comply with the Operating Manual).,No Escapes,Good,Yes,"There were no escapes during the quarter.
The quarterly performance was 100.00%"
FY25-26 Q4 Jan-Feb-Mar,MOJ,HMPPS,SSHP HMP Erlestoke Main Works (S&C),Wates Construction Limited,"Carbon emissions from construction activities, measured in kilograms of carbon dioxide emissions for every £100,000 of construction spend.",≤ 400 kgCO2e/£100k,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOJ,HMPPS,CFO Evolution - Lot 1 North West,Career Connect,"Supplier to undertake a review every six (6) months of Social Value Action Plan, including provision of evidence of effective action being undertaken to meet the targets and actions identified within that plan and the result of those actions.",91-100%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOJ,HMPPS,Independent Approved Premises - Eden House,Seetec Business Technology Cente Limited,Bed Occupancy - % of occupied beds against the available bed spaces,70.00%,Inadequate,Yes,"a KPI out of our control due to referrals being fed through the Central Referral Unit. It is positive to note that occupancy levels have again started to increase towards the end of quarter 4, providing us with a  strong start for the first quarter of 26-27"
FY25-26 Q4 Jan-Feb-Mar,MOJ,MoJ HQ,Call Off from Workforce Solutions (RM6288) for the provision of contingent labour,Alexander Mann Solutions,"Contingent Labour (Professional Interim Workers) - Fulfilment Rate, measuring how successfully interim roles are filled compared to the total number initially requested.",85%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOJ,HMPPS,HMP Dovegate Operator Contract 2026,Serco,N/A,N/A,Recorded Elsewhere,Yes,The most recent publication can be found at: https://www.gov.uk/government/collections/prison-and-probation-trusts-performance-statistics.
FY25-26 Q4 Jan-Feb-Mar,MOJ,HMPPS,Homicide Service 2023 - 2027,Victim Support,Percentage of notifications to the service responded to within two working days,95.00%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOJ,HMPPS,Total Facilities Management Contract - Work Package C.,Mitie Care & Custody,"Reactive Maintenance
This KPI measures whether reactive maintenance are completed within agreed timescales. It reports the captured percentage of reactive maintenance tasks responded to and satisfactorily resolved in month in accordance with SLA against total number of requests in month. The rationale is to measure the response to reported reactive maintenance tasks. The target is to have supplier respond to at least 90% of such tasks in the reporting month.",90.00%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOJ,HMCTS,DLRM - Interim Hosting 2024,Six Degrees Technology Group,Time to fix P2 - 6hrs,100.00%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOJ,HMPPS,Prison Operator Services Mini Competition - HMP Lowdham Grange,Sodexo Ltd,N/A,N/A,Recorded Elsewhere,Yes,The most recent publication can be found at: https://www.gov.uk/government/collections/prison-and-probation-trusts-performance-statistics.
FY25-26 Q4 Jan-Feb-Mar,MOJ,MoJ HQ,Egress : Criminal Justice Secure Mail (CJSM) (2022-23),Egress Software Technologies Ltd,Incident Resolution Times 99.90% of Sev1 incidents to be resolved within 4hrs.,>99.90%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOJ,HMPPS,Body Worn Video Cameras and Service,motorola solutions uk limited,Solution setup/go live (Early Adopter Establishments) - 100% on time in full against agreed implementation date (or any rearranged agreed date),100.00%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOJ,HMCTS,HMCTS Common Services components as a managed service,CGI IT UK Limited,P1 Incident Response - Responded to within 15 minutes during Standard Hours or On-Call Hours as evidenced by the ServiceNow Report,100%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOJ,HMCTS,Language Services - Lot 3 Non-Spoken Language Services,Clarion Interpreting Ltd,Attendance of Language Professionals at face to face and remote non-spoken interpretation services Bookings by the Booked Start Time,> 99.5%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOJ,HMPPS,Community Justice Learning Long Term - Lot 2,Sheffield Hallam University,75% of learners who start a Level 5 module will pass on first attempt,75.00%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOJ,HMPPS,Community Accommodation Service - Tier 2,Nacro,% of Bed Spaces in service - Percentage of Beds currently fit for service against the Target Operating Model,100%,Approaching Target,Yes,Supplier continues to perform to a high level
FY25-26 Q4 Jan-Feb-Mar,MOJ,HMCTS,Provision of Facilities Management Services to His Majesty's Courts and Tribunals Service,Equans Services Limited,Maint M2 - Reactive response: Completion of Interim Solution (if applicable) and Completion of P0/P1 Reactive breakdowns in accordance with the contractual requirements for the provision of a Reactive maintenance service (Response and Rectifications times).,92.00%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOJ,HMPPS,Catering Disposables - Bunzl,Bunzl Catering Supplies,"KPI 4 Social Value - Supplier to report
on the % of products that have moved into a higher sustainable tier",100.00%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOJ,HMPPS,Education Service Provision for HM YOI Feltham,The Shaw Trust Limited,Every child or Learner has a Baseline Education assessment completed for every child and Learner within five (5) Working Days of entry to the Secure Setting.,100.00%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOJ,HMPPS,Ozanam House - IAP,Interventions Alliance Ltd,Purposeful Activity. (Social Value) The percentage of purposeful sessions delivered which include social value,70%,Good,Yes,Authority/Provider jointly agreed data after interrogation.
FY25-26 Q4 Jan-Feb-Mar,MOJ,HMPPS,Independent Approved Premises - Hestia Streatham,Hestia Housing & Support,Bed Occupancy - % of occupied beds against the available bed spaces,70.00%,Good,Yes,Provider agrees figures and raised no concerns
FY25-26 Q4 Jan-Feb-Mar,MOJ,HMPPS,Occupational Health - HMPPS,Working on Wellbeing Ltd trading as Optima Health,Attendance Management Referrals - Telephone Consultation (OHP) within 7 working days,85.00%,Requires Improvement,Yes,"Supplier has suffered exceptional level of sickness for the latter part of the last quarter and into quarter 1, however this has seen increased during the last two months. We are currently recruiting new OHPs and continue to review demand, alongside offering overtime and drawing on support from Senior Medical Directors where required.   "
